                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2011


NAME: Darfield, Canterbury, New Zealand                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   17.2   21.6  14:35   10.3  02:19    2.1    0.0    0.3   19.7   39.2  16:30     35
 02   23.8   30.3  15:24   13.2  00:27    0.0    9.8    0.0   21.0   52.6  12:26    320
 03   24.8   31.4  15:46   13.1  05:28    0.0   11.7    0.0   15.5   43.9  19:09    319
 04   16.0   19.9  14:10   13.5  23:39    4.3    0.0    0.0   10.6   25.6  20:15     88
 05   14.8   17.2  16:28   12.9  01:58    6.4    0.0    2.4    4.0   14.8  00:33     68
 06   21.2   32.2  16:24   14.4  04:58    0.0    5.1    0.3   11.2   35.6  12:34    101
 07   19.6   28.4  16:39   12.3  05:58    0.0    2.3    0.0   17.5   46.4  13:52    223
 08   15.7   20.1  13:25    9.9  03:57    4.7    0.0    0.0   12.7   34.2  12:57    147
 09   16.4   24.2  15:02    5.2  04:29    3.5    0.0    0.0   13.5   33.1  17:01     37
 10   16.1   23.7  12:59    8.2  05:30    4.0    0.0    0.0    7.7   25.6  12:59    154
 11   16.1   17.9  11:55   11.3  05:59    4.1    0.0    1.5   10.1   24.5  13:25     48
 12   11.6   16.3  10:30    8.4  22:59   12.2    0.0    3.6   13.7   34.2  17:06    145
 13   16.8   21.5  18:48    8.0  01:29    2.7    0.0    0.3    6.7   19.4  16:30     96
 14   20.1   24.9  15:37    5.9  05:59    0.0    3.1    0.0    9.4   33.1  17:21     59
 15   23.6   29.5  15:31   10.2  06:29    0.0    9.5    0.0   26.6   47.9  15:59    317
 16   20.7   31.6  11:30   12.8  23:05    0.0    4.3    0.0   21.2   56.2  13:28    213
 17   14.9   22.3  17:31   12.5  03:30    6.1    0.0    0.9    9.6   28.1  14:01     60
 18   18.7   24.1  10:01   15.0  00:31    0.0    0.7   15.6   12.6   33.1  15:10     27
 19   23.8   27.2  17:06   10.1  00:00    0.0    9.8    0.0   22.9   41.8  13:48    269
 20   11.4   14.4  14:53    8.8  03:30   12.5    0.0    1.8   11.8   22.0  12:00     93
 21   11.5   14.4  12:00    9.3  05:00   12.3    0.0    0.9   15.0   33.1  14:12     44
 22   14.2   17.2  16:42    9.3  06:00    7.4    0.0    1.5   15.8   31.7  17:10     47
 23   13.9   17.5  16:28    8.8  06:32    8.1    0.0    2.7   10.4   25.6  16:32     38
 24   17.7   23.6  15:11    5.8  06:31    1.2    0.0    1.2   10.5   28.1  21:43     92
 25   22.3   25.5  15:42   10.1  06:31    0.0    7.1    0.0   15.2   29.5  13:03     46
 26   22.9   25.3  15:40   16.0  06:31    0.0    8.2    0.0   22.2   52.6  17:17    334
 27   18.3   22.9  03:01   14.1  23:31    0.0    0.0    0.0   14.4   31.7  02:31    104
 28   20.1   24.1  17:53    8.1  04:01    0.0    3.1    0.0   20.8   46.4  17:56    353
 29   17.2   22.2  13:57    9.2  22:58    2.0    0.0    7.5   17.9   51.5  14:15    167
 30   19.9   23.5  15:50    8.4  04:33    0.0    2.8    0.0   23.2   54.0  15:52    309
 31   16.2   23.5  05:42   11.5  23:33    3.9    0.0    0.0   16.0   78.5  14:13     45
---------------------------------------------------------------------------------------
      18.3   32.2     06    5.2     09   97.5   77.4   40.5   15.3   78.5     31     26
    
