                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2016


NAME: Darfield Weather Station                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   16.7   25.0  15:50    7.4  05:13    2.9    0.0    0.0    4.1   20.9  12:38     54
 02   15.4   17.9  16:59   13.4  05:25    5.2    0.0    3.8    2.9   14.5  19:39     29
 03   11.2   15.1  04:50    6.9  23:55   12.9    0.0   23.8    7.4   35.4  14:42    182
 04    9.7   15.9  18:48    5.2  06:09   15.6    0.0    2.4    5.1   22.5  19:36    122
 05   11.7   18.7  14:52    3.1  05:28   11.9    0.0    0.0    3.7   19.3  15:18    118
 06   15.1   21.3  15:42    8.2  06:05    5.9    0.0    0.0    7.1   29.0  16:22     30
 07   16.6   23.4  15:19   10.8  06:01    3.1    0.0    0.0    7.6   32.2  17:07    292
 08   16.2   26.4  14:08   10.3  00:00    3.9    0.0    6.4    7.1   37.0  14:27     94
 09   13.8   18.3  14:28    7.9  05:59    8.2    0.0    0.0    9.0   38.6  15:26     32
 10   14.1   20.3  04:40   10.0  23:52    7.6    0.0    0.0    8.2   40.2  01:10    204
 11   13.4   18.3  14:43    8.2  04:26    8.9    0.0    0.0    8.4   33.8  14:20     40
 12   18.6   28.8  15:16    9.2  06:04    0.0    0.4    0.0    6.4   25.7  16:35     10
 13   11.6   18.2  02:51    9.0  12:41   12.0    0.0    4.0    6.6   29.0  01:14    158
 14   14.8   21.2  20:44    7.3  06:19    6.3    0.0    0.0    9.4   33.8  21:03     11
 15   16.5   23.1  07:59    9.7  21:17    3.3    0.0    3.4   13.3   57.9  08:25    293
 16   11.4   13.8  18:42    9.7  00:37   12.5    0.0    5.2    3.6   17.7  19:18     47
 17   13.2   15.7  14:44   10.1  23:51    9.3    0.0    9.0    3.5   17.7  22:41     62
 18   11.7   13.7  17:46    9.6  04:43   12.0    0.0    9.8    2.8   20.0  19:08    124
 19   13.9   16.6  14:46   12.3  07:51    7.9    0.0   11.6    5.1   22.5  12:36    184
 20   18.2   26.4  15:21   12.1  06:10    0.3    0.0    0.2    7.8   38.6  15:58    350
 21   21.2   28.2  14:59   17.4  07:01    0.0    5.1    0.0    8.9   32.2  17:42    305
 22   23.2   29.7  16:54   18.0  03:13    0.0    8.7    0.0   10.6   32.2  17:55    302
 23   23.6   28.8  14:13   20.0  08:30    0.0    9.5    0.0   10.9   32.2  12:33    301
 24   21.7   22.9  22:57   20.5  06:25    0.0    6.1    0.0   11.3   35.4  09:34    316
 25   22.9   23.9  19:13   22.0  00:00    0.0    8.2    0.0   12.2   45.1  22:44    315
 26   14.4   22.0  00:00   11.7  23:13    7.0    0.0    0.2    7.1   37.0  00:26    186
 27   11.6   13.2  13:28   10.5  23:59   12.0    0.0   22.4    5.8   19.3  12:30    170
 28   11.2   14.5  14:30    9.3  06:09   12.9    0.0   12.0    5.9   24.1  16:13    180
 29   12.6   17.4  17:27    9.2  06:23   10.4    0.0    0.0    4.4   16.1  10:57    159
 30   11.4   14.4  15:10    9.5  07:15   12.5    0.0    1.4    3.2   14.5  14:12    120
 31   14.0   20.7  16:06    9.4  03:07    7.8    0.0    0.0    4.6   20.9  16:06     32
---------------------------------------------------------------------------------------
      15.2   29.7     22    3.1     05  212.3   38.0  115.6    6.9   57.9     15    335
    

