                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2013


NAME: Darfield, Canterbury, New Zealand                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   20.2   30.1  15:10   11.3  07:18    0.0    3.4    0.0    6.1   20.9  14:39     48
 02   17.5   27.0  16:11   10.3  05:30    1.4    0.0    0.0    5.2   17.7  18:44    127
 03   18.3   26.3  15:23   12.2  00:02    0.1    0.0    0.0    8.2   27.4  17:17     68
 04   14.7   19.1  12:01    8.6  23:25    6.5    0.0   20.4    8.3   32.2  18:56    162
 05   10.7   15.2  16:29    7.0  01:44   13.8    0.0    2.6   12.9   32.2  12:41    179
 06   12.3   16.9  15:01    4.9  07:01   10.9    0.0    0.0    4.4   19.3  13:11    122
 07   13.9   20.4  16:10    6.2  05:28    7.9    0.0    0.0    7.9   22.5  14:04     47
 08   15.1   21.6  14:55    8.7  06:49    5.8    0.0    0.0    9.0   22.5  15:20     42
 09   17.4   26.2  17:18    7.1  06:44    1.6    0.0    0.0    4.7   16.1  17:09     98
 10   19.5   27.6  15:40   11.6  06:15    0.0    2.1    0.0    8.3   24.1  17:06     21
 11   18.8   29.1  12:39   11.3  23:42    0.0    0.9    0.0    9.7   27.4  12:50     31
 12   15.2   19.7  12:39   11.0  00:54    5.6    0.0    0.0    7.5   24.1  16:26     50
 13   12.4   15.8  03:05    7.8  06:24   10.7    0.0    0.4    7.4   20.9  10:35     91
 14   15.6   24.8  15:43    2.5  05:27    5.0    0.0    0.0   11.1   30.6  19:01    309
 15   15.1   21.1  14:23    6.9  06:30    5.8    0.0    0.0    9.0   22.5  17:20     47
 16   17.7   26.6  16:33    9.3  06:17    1.1    0.0    0.0    5.6   22.5  09:04     43
 17   12.6   15.8  17:14    6.2  23:19   10.4    0.0    1.0    4.6   16.1  14:26    133
 18   14.7   26.3  16:01    4.8  04:30    6.5    0.0    0.2    5.5   19.3  17:46     30
 19   16.9   26.6  13:42    5.9  06:59    2.5    0.0    0.0    8.5   24.1  12:55     31
 20   15.5   21.0  16:27   11.1  22:08    5.0    0.0    0.0    6.5   19.3  15:28    164
 21   13.4   23.2  12:23    8.7  01:13    8.9    0.0    0.8    7.4   25.7  12:47    164
 22   11.7   17.4  15:48    4.9  23:59   12.0    0.0    0.0    4.4   12.9  16:41    175
 23   10.6   19.4  16:17    2.8  05:04   14.0    0.0    0.0    3.5   16.1  16:42    155
 24   13.2   22.2  15:18    3.3  06:46    9.3    0.0    0.2    5.6   19.3  16:13    101
 25   15.1   23.1  15:30   10.9  06:25    5.8    0.0    0.0    9.6   20.9  17:31     32
 26   17.2   25.6  15:05   12.1  06:50    2.0    0.0    0.0    7.7   17.7  01:07     39
 27   16.5   24.1  15:36   12.4  01:22    3.4    0.0    0.0    6.1   22.5  17:37     45
 28   17.9   27.3  14:54   12.8  07:48    0.8    0.0    0.0   11.2   25.7  14:26     39
---------------------------------------------------------------------------------------
      15.3   30.1     01    2.5     14  156.9    6.5   25.6    7.4   32.2     04     62
    
