                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2015


NAME: Darfield Weather Station                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   22.2   31.5  15:47   14.4  07:08    0.0    7.0    0.2    9.8   40.2  16:05    326
 02   22.6   27.2  12:30   18.6  04:53    0.0    7.7    0.0   12.3   43.5  18:09    313
 03   15.3   21.9  03:26   10.9  00:00    5.4    0.0    0.0    7.4   38.6  03:06    115
 04   17.2   25.6  12:39    9.2  02:06    2.1    0.0    0.0   16.4   72.4  13:46    299
 05   14.4   19.4  13:50    8.4  00:00    7.2    0.0    1.2   12.8   49.9  17:23    269
 06    9.6   16.4  14:43    3.6  05:00   15.7    0.0    2.4    9.1   41.8  00:22    164
 07   14.5   24.3  15:42    7.3  07:25    6.9    0.0    0.2    5.5   24.1  11:37     28
 08   18.1   28.1  16:14    8.1  02:24    0.4    0.0    0.0    8.8   32.2  16:05     20
 09   14.9   23.5  10:59    8.9  21:46    6.1    0.0   10.2    8.6   41.8  11:05    250
 10   12.2   20.6  17:04    4.2  06:13   11.0    0.0    0.0    5.0   27.4  17:53     36
 11   13.6   21.1  15:16    4.9  06:53    8.6    0.0    0.0    7.6   35.4  15:46     44
 12   16.8   25.2  14:36   10.3  06:42    2.7    0.0    0.0    7.9   27.4  16:15     37
 13   12.9   18.6  02:11    9.2  23:21    9.7    0.0    0.2    5.8   27.4  09:43    151
 14    9.6   11.2  14:20    8.4  07:08   15.7    0.0    0.0    4.6   20.9  17:25    160
 15   11.4   16.3  15:55    8.3  07:07   12.5    0.0    0.0    3.5   22.5  15:37    106
 16   13.4   19.9  16:04    7.6  06:16    9.0    0.0    0.0    5.1   27.4  16:13     20
 17   14.5   22.6  15:06    6.4  06:47    6.9    0.0    0.0    7.1   30.6  14:33     34
 18   18.5   28.4  16:25    8.2  07:04    0.0    0.3    0.0    4.9   25.7  16:25     63
 19   16.9   26.6  13:36   10.1  04:06    2.5    0.0    1.4    3.2   24.1  16:00    102
 20   16.2   23.3  15:44   11.8  06:52    3.8    0.0    0.2    6.7  246.2  09:04     25
 21   16.3   22.3  14:34   10.2  07:18    3.7    0.0    0.0    6.4   22.5  12:07    127
 22   14.5   17.1  13:09   12.1  23:27    6.9    0.0    1.8    5.2   19.3  11:17    151
 23   15.7   21.3  15:28   12.1  01:11    4.7    0.0    0.0    5.6  347.6  09:13     46
 24   19.5   27.2  14:26   11.5  07:09    0.0    2.0    0.0    8.4   32.2  14:01    329
 25   16.5   26.6  11:44    9.9  00:00    3.3    0.0    0.0    8.0   43.5  13:14    148
 26   11.9   17.8  16:03    8.1  23:58   11.5    0.0    0.0    4.4   27.4  18:34     32
 27   14.4   24.0  16:01    4.6  05:22    7.1    0.0    0.0    5.9   29.0  17:53     28
 28   18.4   29.6  13:46   10.9  07:31    0.0    0.1    0.0    6.9   32.2  16:15    325
---------------------------------------------------------------------------------------
      15.4   31.5     01    3.6     06  163.5   17.1   17.8    7.3  347.6     23      9
    

