                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2013


NAME: Darfield, Canterbury, New Zealand                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   16.9   23.3  14:43   11.5  02:59    2.6    0.0    0.0    9.0   27.4  12:53    174
 02   16.0   21.7  15:37   12.9  06:54    4.3    0.0    0.0    3.4   19.3  13:34     66
 03   12.9   16.1  17:14   10.7  09:01    9.7    0.0    0.8    6.5   20.9  08:50     92
 04   12.7   20.6  12:40    8.6  05:17   10.2    0.0    0.0    8.9   29.0  15:07    123
 05   14.0   22.5  16:07    5.9  07:15    7.9    0.0    0.4    7.6   25.7  17:10     33
 06   17.0   28.0  14:13    9.6  23:59    2.4    0.0    0.0   15.7   35.4  10:16    295
 07   13.4   19.4  15:52    9.3  04:34    9.0    0.0    0.0    9.9   24.1  10:28     49
 08   18.4   28.9  15:53    9.2  04:38    0.0    0.1    0.2    9.2   24.1  18:51     83
 09   14.6   18.7  14:40   12.3  07:09    6.8    0.0    0.0    8.7   20.9  13:45     46
 10   13.9   16.8  16:34   11.8  01:49    7.9    0.0    1.2    4.5   12.9  00:02    156
 11   13.5   17.9  14:42    8.6  07:12    8.6    0.0    0.2    6.4   17.7  15:43    145
 12   12.9   17.2  13:41   10.1  06:50    9.7    0.0    0.0    6.8   21.1  15:09     54
 13   14.5   21.5  17:29    9.5  06:50    6.8    0.0    0.0    4.6   17.7  18:55     69
 14   17.8   28.0  15:23    9.2  03:55    0.9    0.0    0.0   10.2   22.5  14:13     32
 15   19.3   24.7  14:28   13.7  05:54    0.0    1.7    0.0    5.4   14.5  01:29    190
 16   14.2   17.2  16:55   12.2  23:44    7.4    0.0    0.0    4.3   12.9  02:49    184
 17   15.8   21.6  12:01   12.4  00:01    4.6    0.0   12.0    6.7   20.9  20:21    113
 18   11.9   13.1  10:31    8.8  23:56   11.5    0.0   28.6    7.1   25.7  12:13    165
 19    8.8   11.3  14:09    7.2  04:01   17.1    0.0    1.6    6.2   16.1  00:33    212
 20   11.4   17.4  16:01    6.2  07:50   12.4    0.0    0.0    4.5   19.3  12:29     25
 21   11.9   18.1  13:50    5.1  05:57   11.5    0.0    0.0    7.5   22.5  15:13     44
 22   13.1   19.7  15:19    5.8  03:03    9.4    0.0    0.0    9.0   24.1  15:01     41
 23   17.6   24.3  15:11   10.8  00:53    1.4    0.0    0.0   11.2   27.4  15:36    321
 24   18.3   22.0  15:47   15.4  03:36    0.0    0.0    0.0   12.7   32.2  14:39    311
 25   19.5   24.4  16:58   16.7  05:42    0.0    2.1    0.0   16.9   43.5  15:07    311
 26   15.1   19.8  14:28   12.6  05:38    5.9    0.0    0.0    7.6   22.5  15:57     41
 27   13.5   18.0  15:43    9.8  23:56    8.8    0.0    0.0    4.8   14.5  00:28    178
 28   14.2   22.3  16:29    7.7  07:58    7.5    0.0    0.2    6.4   15.2  12:26     33
 29   17.9   25.2  15:11    8.7  04:39    0.7    0.0    0.2   14.5   32.2  21:11    310
 30   19.1   25.0  16:15   13.9  06:32    0.0    1.3    0.0    9.2   27.4  09:43    315
 31   18.2   23.0  14:12   15.0  21:10    0.3    0.0    0.0   10.8   30.6  11:35    330
---------------------------------------------------------------------------------------
      15.1   28.9     08    5.1     21  185.3    5.3   45.4    8.3   43.5     25      1
    
