                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2016


NAME: Darfield Weather Station                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   11.0   15.4  14:54    7.3  07:46   13.2    0.0    0.0    2.7   22.5  13:33     99
 02   12.0   18.9  16:54    8.4  23:45   11.4    0.0    0.0    3.3   24.1  18:25     60
 03   14.8   24.4  15:16    6.4  04:32    6.3    0.0    0.0    7.4   24.1  14:13     25
 04   18.3   23.7  15:41   11.1  06:14    0.1    0.0    0.0    8.0   35.4  17:35     13
 05   21.7   30.3  15:47   13.4  01:44    0.0    6.0    0.0    9.6   27.4  09:21    327
 06   23.0   29.8  13:02   19.7  06:25    0.0    8.5    0.0   10.9   30.6  08:20    331
 07   15.5   22.2  00:08   12.8  05:32    5.1    0.0    0.0    7.3   32.2  16:56     29
 08   15.7   25.5  03:02    9.2  23:59    4.8    0.0    1.4    8.2   40.2  05:39    206
 09   12.6   17.9  14:05    8.6  07:48   10.3    0.0    0.2    8.0   27.4  16:40     34
 10   19.9   28.9  16:22   11.4  23:14    0.0    2.9    0.0   17.4   75.6  15:58    295
 11   10.4   13.4  02:03    7.1  23:58   14.3    0.0    0.0    7.4   35.4  08:33    157
 12    9.4   17.2  14:17    1.2  03:32   16.0    0.0    0.0    5.3   24.1  11:50     14
 13   13.5   22.4  15:13    5.6  06:50    8.7    0.0    0.0    2.9   20.9  16:09     95
 14   14.4   21.6  16:33    9.1  04:14    7.0    0.0    0.2    7.5   25.7  15:47     20
 15   14.4   18.8  04:26    9.2  23:52    7.0    0.0   14.6    7.5   27.4  15:37    179
 16    8.0    9.8  18:19    6.4  07:46   18.7    0.0   22.6    3.2   20.9  00:48    178
 17   10.2   14.8  15:55    7.8  06:26   14.6    0.0    0.0    5.2   25.7  16:03     21
 18   12.6   20.2  15:19    5.4  06:18   10.4    0.0    0.0    7.0   27.4  13:08     21
 19   22.0   27.3  15:13   14.5  00:00    0.0    6.7    0.0   14.8   45.1  14:04    334
 20   22.5   26.9  14:30   19.6  23:02    0.0    7.5    0.0   12.8   37.0  12:12    313
 21   22.6   27.6  14:06   19.5  03:01    0.0    7.6    0.0   11.4   30.6  08:23    304
 22   20.9   27.4  14:14   13.7  23:59    0.0    4.5    0.0    5.8   27.4  07:41    314
 23   15.5   19.3  23:29   10.8  05:12    5.1    0.0    0.0    6.1   29.0  18:00     26
 24   16.7   26.2  15:26   11.8  00:00    2.9    0.0    7.8    6.7   41.8  16:45     25
 25   12.5   16.3  14:45    9.7  04:01   10.5    0.0    0.2    6.6   27.4  15:14     38
 26   12.3   17.9  15:06    8.1  08:09   10.9    0.0    0.0    4.5   22.5  17:39     28
 27   15.2   23.3  15:53    9.6  05:55    5.6    0.0    0.0    6.5   29.0  17:12     21
 28   12.1   14.9  15:31   10.1  08:43   11.1    0.0    1.0    4.4   24.1  15:41     60
 29   13.7   21.1  15:01    7.8  05:44    8.3    0.0    0.0    2.0   20.9  22:34    266
 30   11.3   14.4  15:49    7.6  03:27   12.6    0.0    0.0    3.1   20.9  16:45     61
 31   10.8   17.9  15:04    4.1  06:08   13.5    0.0    0.0    4.7   22.5  17:19     27
---------------------------------------------------------------------------------------
      15.0   30.3     05    1.2     12  228.4   43.6   48.0    7.2   75.6     10    353
    

