                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2011


NAME: Darfield, Canterbury, New Zealand                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   10.6   12.0  16:46    8.7  08:42   13.9    0.0    1.8    6.3   14.8  08:12     92
 02    9.4    9.4  00:01    9.4  00:01   16.1    0.0    1.8    0.0    0.0  00:01     90
 03   16.5   31.4  17:07   12.2  05:41    3.3    0.0    0.0   26.0   47.9  15:34    345
 04    9.9   13.8  08:33    6.0  23:34   15.1    0.0   17.7   10.9   27.0  09:15    191
 05   10.3   14.1  15:05    5.8  01:12   14.4    0.0    2.4   11.3   40.3  11:25    175
 06   10.0   18.7  11:06    4.6  22:49   15.1    0.0    0.0    4.2   35.6  23:48    344
 07    9.6   14.1  12:36    5.7  06:48   15.6    0.0    0.0   12.9   37.8  15:15    182
 08   12.5   18.3  13:00    6.8  21:51   10.5    0.0    0.0    7.2   24.5  14:12    148
 09   12.8   17.2  15:19    8.7  00:00    9.9    0.0    0.0    9.3   17.3  12:39     34
 10   14.3   18.0  15:06    4.6  05:48    7.2    0.0    0.0   12.7   27.0  20:52     19
 11   19.7   27.8  13:27    5.4  03:18    0.0    2.4    0.0    7.6   20.9  10:38    335
 12   16.8   23.6  15:20    3.9  06:49    2.8    0.0    0.0    6.4   17.3  14:24     14
 13   14.2   21.7  13:19    7.2  07:19    7.5    0.0    0.0    7.2   13.3  10:45     36
 14   12.4   16.8  12:49    7.8  02:19   10.7    0.0    0.3    6.3   15.8  22:06     86
 15   12.5   15.2  12:12   10.7  00:19   10.6    0.0    0.6    4.8   17.3  12:12    180
 16   11.9   13.6  15:07    9.0  21:08   11.7    0.0    4.2    3.5   13.3  14:47     36
 17    8.7   13.9  11:50    5.8  20:03   17.4    0.0   10.2   10.5   31.7  14:33    193
 18    8.3   12.0  12:38    3.2  23:50   18.1    0.0    0.9   17.1   45.4  10:30    188
 19   12.1   15.0  13:53    1.8  01:20   11.2    0.0    0.0   15.0   42.8  23:16     16
 20   10.1   15.8  02:51    8.4  20:11   14.8    0.0    0.0    4.6   23.4  01:21     92
 21   10.9   16.0  13:39    7.0  23:47   13.4    0.0    0.0   10.2   29.5  15:58     40
 22   17.7   22.0  13:50    6.5  00:50    1.1    0.0    0.0   19.6   42.8  23:02    334
 23   19.3   23.3  14:46   12.0  23:52    0.0    1.8    0.0   19.6   40.3  01:51    318
 24   20.9   29.5  14:34    9.5  05:22    0.0    4.5    0.0   10.0   25.6  10:58    318
 25    7.7   17.1  00:01    5.9  21:59   19.2    0.0    3.6    7.3   24.5  00:05    134
 26    6.8   11.5  14:22    3.8  20:40   20.7    0.0    3.3    6.3   23.4  11:05    171
 27    6.0   10.2  12:21    0.7  23:54   22.1    0.0    0.0    3.9   13.3  14:57    186
 28    8.1   14.7  12:53   -0.3  23:54   18.3    0.0    0.0    5.2   15.8  15:33     31
 29   15.0   27.0  16:00   -0.1  00:01    6.0    0.0    0.0    3.5   11.2  13:23    271
 30   15.4   24.0  15:09    5.4  23:28    5.3    0.0    0.0    5.9   18.4  12:27      0
---------------------------------------------------------------------------------------
      12.4   31.4     03   -0.3     28  332.1    8.7   46.8    9.4   47.9     03      7
    
