                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2016


NAME: Darfield Weather Station                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   14.9   20.1  11:52   11.4  00:40    6.2    0.0    1.0    4.4   17.7  14:27    356
 02   14.7   18.6  13:12   13.0  05:51    6.5    0.0    0.0    4.1   19.3  12:05     44
 03   16.7   25.4  15:39   10.0  06:36    2.9    0.0    0.0    5.6   29.0  15:12    301
 04    9.3   12.1  14:50    4.3  23:58   16.3    0.0    4.4    3.4   20.9  07:15     87
 05   10.5   18.7  15:07    2.2  01:18   14.2    0.0    0.2    3.1   16.1  16:58    348
 06   14.2   19.9  14:34    7.6  00:00    7.5    0.0    0.0    7.5   27.4  23:49    354
 07   18.1   23.5  12:03   14.2  07:02    0.5    0.0    0.0   10.4   38.6  11:12    313
 08   11.3   18.1  00:00    8.5  21:46   12.7    0.0    5.2    5.2   33.8  05:23    180
 09   10.5   16.6  14:46    5.1  02:35   14.0    0.0    0.0    4.2   22.5  14:37     23
 10   12.3   18.9  14:32    5.7  02:45   10.9    0.0    0.0    5.9   30.6  22:55    343
 11   16.9   22.6  13:28   12.9  03:35    2.6    0.0    0.0   12.8   40.2  22:42    314
 12   10.1   18.9  00:49    6.3  23:10   14.8    0.0   11.6    6.7   37.0  01:16    218
 13    8.7   15.7  14:24    3.2  06:16   17.3    0.0    0.2    3.6   17.7  15:33    331
 14   11.6   21.2  13:55    0.8  06:01   12.1    0.0    0.0    5.3   24.1  11:12    335
 15    9.5   16.9  15:16    2.8  04:19   15.9    0.0    0.0    2.8   16.1  16:54     13
 16   14.6   21.2  14:25    6.2  00:04    6.8    0.0    0.0   10.2   35.4  23:44    313
 17   13.2   19.1  10:38    9.6  23:09    9.2    0.0    0.0    8.1   32.2  00:00    280
 18   10.2   14.8  14:47    5.7  23:59   14.6    0.0    0.4    3.2   19.3  15:36     28
 19    9.9   17.3  14:53    2.2  06:32   15.3    0.0    0.0    4.5   24.1  16:24      9
 20   12.7   21.2  13:47    4.8  22:38   10.1    0.0    0.0    4.6   24.1  15:12    332
 21   11.3   17.2  14:24    5.2  07:21   12.7    0.0    0.0    4.0   17.7  16:53     13
 22   14.7   22.3  14:08    6.8  04:00    6.5    0.0    0.0    8.1   33.8  21:33    303
 23   15.4   21.1  14:24    7.3  23:57    5.3    0.0    1.6    9.9   35.4  11:02    294
 24   10.7   17.8  15:24    3.3  06:52   13.7    0.0    0.8    6.4   32.2  17:43    315
 25   11.4   16.3  14:11    6.5  03:44   12.4    0.0    0.0    6.6   33.8  22:58    339
 26   13.4   19.7  14:40    4.3  23:42    8.9    0.0    0.0    5.6   35.4  01:39    294
 27   11.4   18.4  15:06    3.6  00:27   12.4    0.0    0.0    4.5   17.7  18:28      1
 28   14.3   21.9  13:58    9.6  07:21    7.2    0.0    0.0    6.7   22.5  09:56    328
 29   12.5   18.0  11:32    5.8  06:46   10.5    0.0    0.0    3.1   29.0  17:10    234
 30   11.0   15.0  13:56    8.7  05:24   13.3    0.0    0.0    4.0   24.1  17:30     21
---------------------------------------------------------------------------------------
      12.5   25.4     03    0.8     14  313.3    0.0   25.4    5.8   40.2     11    329
    

