                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2012


NAME: Darfield, Canterbury, New Zealand                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    6.3   10.6  14:11    0.5  07:40   21.6    0.0    0.0    7.4   25.7  15:07    174
 02    5.8   11.6  14:48    0.8  22:27   22.5    0.0    0.0    3.8   16.1  00:05    231
 03    4.8   12.8  13:48   -1.5  07:25   24.3    0.0    0.0    2.7    9.7  13:27    192
 04    9.9   16.5  13:45    2.4  00:01   15.2    0.0    0.0    4.4   14.5  15:01    352
 05    9.0   12.3  13:11    5.8  06:52   16.8    0.0    0.0    5.9   17.7  13:17     33
 06    7.9   10.4  13:44    2.2  23:54   18.8    0.0    0.0    5.2   14.5  11:07      3
 07    9.9   19.9  15:36    1.5  00:25   15.1    0.0    0.2   11.6   32.2  18:08    328
 08   12.9   17.7  15:51    8.7  21:01    9.7    0.0    0.0    9.5   25.7  00:17    303
 09    9.1   10.3  12:14    8.2  21:48   16.5    0.0    0.4    2.5    9.7  14:01     50
 10    7.9    8.8  11:50    6.4  23:41   18.9    0.0    5.0    2.2   12.9  12:20    126
 11    6.7    9.2  12:51    2.9  00:00   20.9    0.0    0.6    3.6   17.7  12:52    352
 12    9.2   13.3  16:43    2.7  00:04   16.4    0.0    0.2   11.1   38.6  21:29    320
 13   14.0   19.5  13:36   10.6  06:43    7.8    0.0    0.0    9.9   25.7  21:38    306
 14   11.5   16.0  13:48    7.7  22:24   12.4    0.0    0.8    5.6   20.9  14:07    323
 15    8.1   13.9  13:30    4.3  23:31   18.5    0.0    7.4    2.8   16.1  17:30    267
 16    4.9    8.5  14:22    0.6  20:10   24.2    0.0    0.6    6.5   29.0  11:46    194
 17    9.6   14.6  14:03    4.8  05:11   15.8    0.0    0.0    7.9   25.7  22:02    303
 18    6.9   14.2  00:01    1.2  07:49   20.5    0.0    0.0    6.4   29.0  00:54    186
 19    6.4   10.2  12:47    1.1  19:09   21.6    0.0    0.0    6.5   20.9  10:48    182
 20    4.5   13.2  14:34   -1.2  06:27   25.0    0.0    0.0    5.0   14.5  11:29    311
 21    7.4   14.5  13:23    2.7  23:36   19.7    0.0    0.0    3.7   14.5  03:26    345
 22    6.5   12.4  14:13    1.3  03:43   21.2    0.0    0.0    5.7   16.1  19:03    343
 23    8.6   14.7  13:08    2.4  06:05   17.6    0.0    0.0    7.6   17.7  23:29    338
 24   13.6   19.1  13:59    8.9  05:02    8.5    0.0    0.0   11.7   24.1  00:50    296
 25    9.8   18.1  03:34    4.2  23:53   15.4    0.0    0.2    6.3   35.4  06:37    192
 26    7.7   15.8  23:29    1.2  02:54   19.1    0.0    0.2    9.8   32.2  20:43    338
 27   15.6   18.3  12:38   12.7  09:53    5.0    0.0    1.6   28.9   57.0  14:51    266
 28    9.2   15.2  01:55    3.1  23:57   16.5    0.0    1.0    7.3   27.0  01:52    139
 29    4.5   13.4  15:50   -0.4  07:57   24.9    0.0    0.0    3.6   13.0  21:49    232
 30    9.4   15.9  13:28    3.4  00:14   16.1    0.0    0.0   10.1   21.0  04:36    241
 31    7.4   14.9  12:39    0.2  07:25   19.8    0.0    0.0    3.2   18.0  16:44    151
---------------------------------------------------------------------------------------
       8.5   19.9     07   -1.5     03  546.2    0.0   18.2    7.1   57.0     27    298
    
