                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2014


NAME: Darfield Weather Station                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    7.1   12.6  14:38   -0.9  07:09   20.3    0.0    0.4    5.2   14.5  21:46     18
 02    8.4   13.2  14:54    3.2  04:31   17.9    0.0    0.4    7.6   18.7  18:51     18
 03   11.0   21.2  14:51    2.8  04:31   13.3    0.0    0.0    3.8   16.1  10:31    320
 04    8.6   17.6  23:34    3.0  06:36   17.5    0.0    0.0    7.3   25.7  23:29     10
 05   17.5   20.4  14:21   15.0  22:23    1.4    0.0    0.8   19.6   70.8  21:57    333
 06   16.3   20.1  12:21   11.3  20:05    3.6    0.0    0.0   14.4   49.9  03:13    315
 07   11.2   17.3  12:12    4.8  23:58   12.8    0.0    1.2    7.7   30.6  14:25    328
 08    7.7   12.1  14:37    3.2  01:24   19.2    0.0    6.0    5.8   19.3  19:21    193
 09    6.6   11.3  14:01    3.6  07:42   21.1    0.0    0.0    3.0   11.3  00:32    189
 10    7.8   13.2  13:59    2.6  00:48   19.0    0.0    0.0    2.6   11.3  12:16    333
 11    9.1   14.1  15:02    4.5  01:55   16.7    0.0    0.0    5.1   19.3  09:26    345
 12   12.3   17.1  12:45    8.3  00:00   10.8    0.0    0.0    8.7   24.1  09:17    301
 13    8.1   10.4  12:15    5.3  08:55   18.4    0.0    6.0    4.3   16.1  23:37    217
 14    8.2   11.2  14:11    7.3  07:35   18.2    0.0   38.4    4.1   12.9  02:37    206
 15    7.2   11.8  16:39    3.6  21:07   20.1    0.0    0.0    2.8   10.3  14:12    247
 16    8.8   15.8  13:55    3.9  07:52   17.1    0.0    0.4    8.3   19.3  12:50    336
 17   10.7   15.7  11:07    5.7  23:44   13.7    0.0    0.0    9.4   25.7  07:57    311
 18   13.0   18.4  14:56    5.8  00:02    9.6    0.0    0.0   11.3   29.0  15:44    308
 19   12.4   17.4  15:49    6.3  06:16   10.7    0.0    0.0   10.2   25.7  18:33    350
 20   16.5   20.0  13:43   13.7  20:36    3.3    0.0    0.0    9.3   27.4  05:38    314
 21   12.3   19.1  12:17    6.9  23:48   10.8    0.0    0.0    8.1   30.6  01:34    307
 22    9.6   15.7  14:57    2.5  05:20   15.8    0.0    0.0   11.6   30.6  20:03    311
 23   14.3   19.9  13:09    6.9  21:20    7.2    0.0    0.0   11.6   33.8  00:45    309
 24   12.2   16.8  15:14    2.2  23:57   11.0    0.0    0.0   10.6   35.4  14:08    295
 25    6.6   12.5  11:30    0.3  03:19   21.2    0.0    3.2   14.4   54.7  12:30    315
 26    3.4    7.4  13:41   -1.7  20:56   26.8    0.0    0.0    8.8   41.8  04:19    214
 27    4.8    9.4  23:07   -1.5  07:34   24.3    0.0    0.0    9.5   25.7  23:08    356
 28   12.6   15.5  21:10    9.2  00:01   10.4    0.0    0.0   22.9   53.1  21:14    316
 29   10.5   19.1  13:13    3.7  21:00   14.0    0.0    5.6   12.1   43.5  13:44    309
 30    4.1   11.7  15:44   -1.3  06:35   25.7    0.0    0.0    3.1   11.3  12:02    298
 31    4.9   11.6  14:30   -0.4  20:30   24.2    0.0    0.0    4.2   12.9  00:40    332
---------------------------------------------------------------------------------------
       9.8   21.2     03   -1.7     26  475.9    0.0   62.4    8.6   70.8     05    318
    

