                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2012


NAME: Darfield, Canterbury, New Zealand                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    6.9   12.9  13:52    2.2  07:06   20.5    0.0    0.0    8.1   21.0  18:25    344
 02    6.9   12.1  16:27    2.2  07:54   20.7    0.0    0.0    3.5   23.0  23:53    257
 03    9.6   15.9  10:30    5.7  23:45   15.7    0.0    0.2    8.8   35.0  11:32    266
 04    7.7   13.4  14:53    1.8  07:38   19.2    0.0    0.0   11.8   27.0  17:45    311
 05   11.4   14.6  13:00    3.7  23:58   12.5    0.0   20.0   15.6   35.0  09:33    280
 06   -0.2    3.7  00:01   -4.7  22:26   33.4    0.0    2.0    2.1   23.0  00:13    188
 07   -2.1    5.3  00:00   -8.0  03:03   36.7    0.0    3.0    2.9   26.0  00:00    306
 08    6.8    9.6  15:10   -0.9  23:59   20.7    0.0    0.0    9.8   41.0  03:46    289
 09    5.0   10.1  12:28   -1.1  00:05   24.0    0.0    0.0    5.3   21.0  06:08    308
 10    7.1   12.1  15:30   -1.0  06:53   20.2    0.0    0.0   10.1   23.0  10:29    282
 11    5.8    9.7  01:08   -0.2  23:57   22.6    0.0    0.0    5.3   27.0  04:34    257
 12    2.8    7.2  14:07   -0.6  21:15   27.9    0.0    0.0    7.6   32.0  14:37    186
 13    8.2   14.3  14:13    1.4  00:01   18.2    0.0    0.0    5.8   24.0  12:36    172
 14    4.3    6.6  00:01    1.1  22:44   25.3    0.0    3.6    6.7   27.0  12:00    169
 15    3.2    5.5  12:27    0.5  01:20   27.2    0.0    5.4    8.8   24.0  14:34    194
 16    2.7    6.6  13:29   -0.9  21:54   28.1    0.0    3.0    5.0   19.0  00:12    201
 17    1.1    4.2  14:25   -1.7  08:02   31.1    0.0    1.0    4.7   14.0  14:59    318
 18    2.8    6.7  14:51    0.5  05:50   27.9    0.0    0.0    2.2   13.0  14:57    325
 19    2.7    5.0  23:58    0.0  06:12   28.2    0.0    0.0    3.5   16.0  13:39    186
 20    5.4    6.4  11:49    4.5  05:07   23.3    0.0    0.0    4.7   10.0  01:57    237
 21    6.1   10.8  14:48    0.9  23:40   22.0    0.0    0.2    2.6    8.0  12:36    241
 22    6.9   13.3  23:38   -0.4  01:58   20.6    0.0    0.0    8.7   29.0  22:21    316
 23   12.1   17.4  10:02    5.3  23:55   11.2    0.0    2.8   27.2   76.0  12:48    275
 24    4.4    8.7  14:00    1.2  09:11   25.2    0.0    2.8    5.5   23.0  00:05    335
 25    6.4    9.8  13:55    2.9  18:40   21.5    0.0    0.0    9.0   31.0  23:56    303
 26    5.6   11.7  01:52   -0.6  21:30   23.0    0.0    1.8   15.0   40.0  03:59    276
 27    4.1   11.6  13:15   -0.9  01:48   25.7    0.0    0.0    7.7   31.0  13:58    275
 28    6.8   12.4  13:08    3.2  00:01   20.8    0.0    0.0    8.2   31.0  12:27    233
 29    3.5    7.1  12:50    0.3  07:45   26.8    0.0    0.0    5.1   16.0  13:01    225
 30    1.6    7.3  14:24   -4.2  20:55   30.0    0.0    0.0    3.8   11.0  05:18    318
---------------------------------------------------------------------------------------
       5.2   17.4     23   -8.0     07  710.1    0.0   45.8    7.5   76.0     23    271
    
