                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2013


NAME: Darfield, Canterbury, New Zealand                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   11.4   15.1  12:21    8.6  00:22   12.5    0.0    0.0   12.3   27.4  14:02    309
 02   13.7   17.4  11:25    9.4  23:02    8.4    0.0    0.0   10.4   32.2  06:27    311
 03   11.8   18.2  12:34    4.7  21:18   11.7    0.0    0.0    8.6   37.0  11:43    289
 04    6.8   12.2  23:56    1.8  07:46   20.8    0.0    0.0    8.6   20.9  16:33     18
 05   13.2   17.6  14:00    7.3  05:24    9.2    0.0    0.0   13.2   54.7  23:51    332
 06   10.6   14.2  00:01    7.9  20:42   13.8    0.0    7.0   19.4   66.0  00:05    304
 07    8.8   12.1  10:37    5.6  18:40   17.2    0.0    0.8   15.4   49.9  10:56    294
 08    3.8    9.1  13:27   -2.0  08:11   26.2    0.0    0.0    3.5   12.9  14:44     10
 09    4.6    7.6  13:35    1.6  00:28   24.7    0.0    6.8    6.9   17.7  05:32    280
 10    2.8    6.7  15:26   -0.5  19:35   28.0    0.0    1.2    5.7   17.7  06:47    222
 11    2.1    7.9  13:54   -3.3  23:53   29.3    0.0    0.0    5.0   16.1  13:39    331
 12    0.6    8.1  14:37   -3.9  04:36   31.8    0.0    0.0    3.3   11.3  15:31    334
 13    4.4   11.2  15:18   -0.5  23:37   25.1    0.0    0.4    3.1   12.9  15:20    320
 14    1.2    4.0  14:28   -2.2  02:40   30.8    0.0   13.4   11.1   32.2  08:32    189
 15    4.4    7.1  13:42    1.1  23:50   25.1    0.0    2.2    9.2   29.0  04:22    198
 16    4.6    8.8  23:35    0.9  02:19   24.8    0.0    0.0    7.6   20.9  23:48    352
 17   11.3   15.6  14:27    8.3  04:26   12.7    0.0    0.0   15.0   32.2  21:42    306
 18   13.1   15.4  04:19    7.5  23:46    9.5    0.0    0.0   11.9   32.2  01:36    303
 19    7.4    9.4  14:36    1.8  06:28   19.7    0.0    0.0    2.7   12.9  11:43    275
 20    7.0   11.3  23:32    4.2  19:43   20.4    0.0    0.0    7.9   17.7  23:00     11
 21   12.7   18.8  15:02    7.7  19:09   10.1    0.0    0.0    8.4   30.6  05:50    305
 22   13.3   18.3  15:47   10.1  07:45    9.1    0.0    0.0   12.4   33.8  17:29    316
 23    9.2   12.5  00:53    5.2  23:58   16.5    0.0    3.6    2.4   11.3  19:43    238
 24    9.1   14.4  12:44    3.7  01:58   16.6    0.0    0.2    7.7   24.1  20:06    307
 25   10.4   15.3  12:52    7.6  00:25   14.2    0.0    0.0   10.6   24.1  15:24    299
 26   10.7   15.6  13:13    7.7  00:33   13.7    0.0    0.0   10.5   27.4  13:31    302
 27   11.5   15.3  14:17    9.3  03:10   12.3    0.0    0.0    9.3   22.5  09:52    305
 28   11.0   17.3  14:36    7.2  08:30   13.2    0.0    0.0    6.2   22.5  00:13    303
 29    8.5   15.1  14:04    3.8  23:39   17.7    0.0    0.0    6.2   16.1  00:55    325
 30    6.1   12.3  15:43    1.7  05:59   21.9    0.0    0.0    5.1   12.9  09:56     26
 31    5.2   11.3  12:48   -1.7  05:10   23.6    0.0    0.2    2.9   17.7  11:15    298
---------------------------------------------------------------------------------------
       8.1   18.8     21   -3.9     12  570.8    0.0   35.8    8.5   66.0     06    307
    
