                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2015


NAME: Darfield Weather Station                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    7.2   10.9  00:27    2.2  08:36   20.1    0.0    0.0    5.7   25.7  03:54     23
 02    8.8   13.7  15:14    3.3  05:31   17.1    0.0    0.0   10.6   45.1  23:53    330
 03    9.1   13.7  05:05    4.4  00:00   16.6    0.0    0.0    7.3   45.1  05:22    304
 04    5.0    9.2  14:27    0.7  07:42   24.1    0.0    0.0    5.5   20.9  09:50    356
 05   10.0   14.7  13:26    6.4  00:00   15.0    0.0    0.0   11.5   43.5  03:04    300
 06    5.7    9.6  12:56    1.7  23:04   22.7    0.0    0.0    5.3   29.0  03:49    291
 07    0.9    7.1  15:02   -2.5  18:38   31.4    0.0    0.0    1.7   14.5  13:31    231
 08    1.8    5.7  13:53   -1.4  04:32   29.7    0.0    1.0    6.0   33.8  12:51    177
 09    1.8    3.1  13:11    0.2  07:50   29.8    0.0   15.6    7.9   32.2  13:35    155
 10    2.0    7.3  14:53   -2.9  23:22   29.3    0.0    0.0    2.5   20.0  14:53    242
 11   -0.2    6.1  15:16   -4.2  03:51   33.4    0.0    0.2    1.4    9.7  10:06    336
 12   -0.0    5.8  14:59   -4.1  23:43   33.1    0.0    0.0    2.3   16.1  13:55      5
 13    1.9    7.3  15:09   -3.5  00:02   29.6    0.0    0.2    5.4   25.7  18:23      8
 14   10.4   13.0  23:08    5.4  00:00   14.3    0.0    0.0   14.7   45.1  21:46    333
 15   12.6   15.6  15:13    9.6  01:48   10.4    0.0    0.0    4.8   38.6  00:39    310
 16    7.4   11.4  00:00    5.3  23:56   19.6    0.0    6.0    2.3   11.3  08:31    173
 17    5.4    8.7  15:00    2.8  23:58   23.3    0.0    0.0    3.8   22.5  19:31     36
 18    4.7    8.4  08:59    0.2  23:32   24.5    0.0    8.0    7.0   41.8  17:09    241
 19    3.3    8.8  15:07   -0.6  02:09   27.1    0.0    0.0    4.2   30.6  00:33    228
 20    4.0    7.6  15:38    0.1  00:04   25.8    0.0    0.0    5.2   41.8  11:22    256
 21    6.9   13.2  15:25    1.4  08:08   20.7    0.0    0.0    2.7   22.5  02:07    264
 22    5.0   11.2  13:38    0.5  21:53   24.1    0.0    0.0    2.6   12.9  12:10    330
 23    7.2   13.2  14:32    1.3  00:52   20.1    0.0    0.0    6.8   29.0  18:08    357
 24    8.4   12.3  11:54    2.4  23:38   17.9    0.0    0.0    6.2   25.7  03:55    353
 25    7.8   15.2  15:46    2.0  01:36   19.0    0.0    0.2   10.3   48.3  19:48    355
 26   13.3   18.2  14:21   10.7  18:12    9.1    0.0    0.0   12.3   54.7  02:12    330
 27   11.2   14.8  14:31    8.1  08:47   12.9    0.0    7.6    7.6   35.4  14:46    338
 28    8.2   11.8  12:42    4.4  23:18   18.3    0.0    3.6    3.7   25.7  07:21    279
 29    4.4    9.6  11:51    0.2  00:00   25.0    0.0    1.2    5.1   38.6  13:30    167
 30    2.8    8.4  14:15   -1.6  05:23   28.0    0.0    0.0    4.0   19.3  23:24    353
 31    7.6   13.9  14:09    2.9  03:02   19.3    0.0    0.0   10.3   32.2  12:07    336
---------------------------------------------------------------------------------------
       5.8   18.2     26   -4.2     11  691.0    0.0   43.6    6.0   54.7     26    328
    

