                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2011


NAME: Darfield, Canterbury, New Zealand                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    8.5   15.8  14:23    2.1  00:49   17.8    0.0    0.0    7.7   15.8  20:28     12
 02    9.8   22.4  13:40   -2.3  03:20   15.4    0.0    0.0    5.0   17.3  11:37    335
 03    6.3   20.6  14:25    0.5  20:38   21.6    0.0    0.0    5.4   18.4  14:48    329
 04    8.9   18.2  13:12    0.2  06:20   17.0    0.0    0.3    5.6   15.8  01:33    298
 05    8.7   15.6  13:54    4.3  23:50   17.4    0.0    1.2    8.5   22.0  20:50     26
 06   12.8   17.2  16:37    4.4  00:20    9.9    0.0    0.0   12.9   40.3  11:22    254
 07    4.8   12.9  09:21   -0.7  19:56   24.3    0.0    0.3   13.8   56.2  11:00    210
 08   10.6   18.8  13:56   -0.6  23:51   13.9    0.0    0.0   10.3   35.6  15:09    297
 09    9.4   13.8  13:56   -1.7  02:21   16.1    0.0    0.0   12.7   23.4  20:24     28
 10    8.2   17.2  09:54   -2.4  05:22   18.3    0.0    0.0    6.3   17.3  12:23    141
 11    7.4   12.5  10:55    0.1  07:52   19.6    0.0    0.0    9.2   20.9  16:55     45
 12    6.2    7.4  12:43    4.7  00:22   21.8    0.0    0.3   13.0   29.5  15:03     36
 13    6.6   12.6  13:22    2.3  23:53   21.1    0.0    0.0    7.3   19.4  14:55    169
 14    4.3   11.5  11:23   -1.0  22:31   25.3    0.0    0.0   18.7   47.9  16:12    182
 15   -0.4    2.4  13:02   -1.6  20:15   33.7    0.0    0.3   24.2   54.0  13:39    207
 16    1.5    3.7  11:54   -1.4  00:23   30.2    0.0   12.0   17.4   39.2  11:43    186
 17    2.7    4.8  14:30    0.3  03:22   28.1    0.0    6.3   15.8   35.6  06:22    210
 18    3.6    5.2  14:52    1.8  03:23   26.4    0.0    3.0   13.2   27.0  10:49    204
 19    5.5    9.9  13:36    1.1  21:54   23.2    0.0    0.0    6.6   18.4  15:53    199
 20    9.0   17.6  15:08   -1.5  07:24   16.9    0.0    0.0    4.4   11.2  15:54    325
 21    8.8   17.5  12:09   -1.7  03:24   17.1    0.0    0.0    8.0   25.6  16:11    122
 22   12.8   18.4  15:00    1.0  04:24   10.0    0.0    0.0   10.1   22.0  14:03    311
 23   13.1   17.7  12:34    2.0  02:24    9.4    0.0    0.0   15.5   36.7  22:18    347
 24   14.8   21.9  12:44    9.6  21:08    6.4    0.0    0.0   18.1   37.8  02:25    310
 25   14.5   19.7  13:14    0.8  07:25    7.0    0.0    0.0   18.9   36.7  22:01    314
 26   13.6   16.9  13:51    8.6  23:31    8.5    0.0    0.0   21.5   45.4  14:38    324
 27   11.8   21.2  09:27    2.6  20:44   11.8    0.0    0.0    8.3   27.0  14:18    110
 28    9.9   15.1  14:18    1.9  03:55   15.2    0.0    0.0    8.5   18.4  14:40     39
 29   10.2   14.8  15:42    4.5  00:26   14.6    0.0    0.0    4.6   20.9  23:44     31
 30   13.1   20.7  14:05    6.7  23:54    9.5    0.0    0.0   12.6   36.7  12:36    258
 31   12.1   16.6  14:26    3.5  06:57   11.3    0.0    0.0   17.5   37.8  18:38    343
---------------------------------------------------------------------------------------
       8.8   22.4     02   -2.4     10  538.9    0.0   23.7   11.6   56.2     07    293
    
