                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2015


NAME: Darfield Weather Station                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    8.7   11.9  04:19    2.5  21:34   17.3    0.0    0.0    5.1   32.2  00:46    289
 02    9.8   16.1  13:18    2.7  00:45   15.4    0.0    0.0    6.7   35.4  05:59    325
 03   10.9   18.8  14:05    4.4  03:11   13.3    0.0    0.0    7.8   46.7  14:16    309
 04   10.5   15.2  11:19    1.3  00:00   14.0    0.0    0.6   12.1   57.9  11:14    297
 05    5.4   11.1  14:13    0.3  03:07   23.3    0.0    0.0    6.4   29.0  09:47    354
 06    7.2   12.7  15:59    2.6  09:29   20.1    0.0    0.0    7.3   32.2  00:24    319
 07    4.8    9.5  00:00    0.1  00:00   24.3    0.0    0.0    5.5   35.4  13:04    293
 08    1.9    6.6  15:48   -0.1  02:35   29.6    0.0   16.4    3.0   19.3  07:21    223
 09    0.5    4.6  10:58   -3.1  07:41   32.1    0.0    1.0    3.7   29.0  11:40    194
 10    1.7    5.8  14:24   -2.1  23:50   30.0    0.0    2.2    3.2   17.7  14:51    235
 11    1.3    8.6  15:12   -2.8  03:13   30.7    0.0    0.0    2.1    9.7  09:18    307
 12    1.8    6.8  14:46   -1.7  07:26   29.7    0.0    0.0    4.9   20.9  14:58     11
 13    4.9   10.8  14:12    0.2  07:42   24.3    0.0    0.2    7.2   24.1  16:44     15
 14    7.6    9.7  13:51    5.5  23:59   19.4    0.0    0.4    5.8   25.7  05:04     36
 15    7.3    8.4  15:51    5.4  00:56   19.8    0.0    3.6    3.3  197.9  18:01     63
 16    5.7    7.9  15:19    1.4  00:00   22.7    0.0    9.6    5.8   25.7  12:14    167
 17    6.4   13.3  16:07   -0.4  03:47   21.4    0.0    0.2    6.0   24.1  20:46      3
 18   11.4   15.8  13:43    8.4  00:00   12.5    0.0    0.0   11.7   41.8  07:58    321
 19    8.9   12.9  15:22    5.7  21:33   17.0    0.0    0.0    4.8   29.0  00:18    295
 20    5.3   10.2  15:43   -0.8  22:05   23.5    0.0    0.0    2.6   33.8  01:11    128
 21    3.8   10.9  14:52   -2.3  07:46   26.1    0.0    0.0    3.6   20.9  16:04     27
 22    4.1   11.2  14:45   -1.9  00:39   25.5    0.0    0.0    3.4   17.7  12:51     29
 23    7.9   15.0  14:47   -0.3  05:27   18.8    0.0    0.0    5.5   29.0  23:35    332
 24    9.9   14.4  16:24    4.8  00:00   15.1    0.0    0.0   10.4   40.2  17:32    312
 25    4.2    6.9  16:57    1.7  03:05   25.4    0.0    7.4    3.7   24.1  09:06    164
 26    6.3    9.4  15:01    3.2  23:59   21.7    0.0    0.0    3.4   22.5  03:01    266
 27    4.9   11.9  15:17   -1.1  02:57   24.2    0.0    0.0    5.2   22.5  11:39     26
 28    4.4    6.8  10:56    1.1  04:38   25.1    0.0    0.4    2.3   16.1  13:17    162
 29    8.9   15.3  15:46    3.9  00:00   17.0    0.0    0.2    6.1   32.2  10:05    355
 30    5.3    8.2  15:32    0.8  05:36   23.5    0.0    0.4    3.2   17.7  14:13    178
 31    5.1    6.2  13:03    3.6  20:14   23.8    0.0    0.2    2.0   12.9  16:18    102
---------------------------------------------------------------------------------------
       6.0   18.8     03   -3.1     09  686.7    0.0   42.8    5.3  197.9     15    333
    

