                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2010


NAME: Darfield, Canterbury, New Zealand                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   10.5   13.3  14:19    0.4  03:55   14.2    0.0    0.9   14.2   25.6  15:38     33
 02   10.8   16.3  13:58    2.8  23:25   13.6    0.0    0.0   13.4   49.0  11:11    315
 03    5.0   15.4  09:52    0.8  23:55   24.0    0.0    6.0   10.3   37.8  12:49    238
 04    9.6   15.2  14:42    9.0  19:24   15.7    0.0    0.0   19.0   30.6  21:00    317
 05   13.9   21.0  16:22   10.4  01:11    8.0    0.0    0.6   27.0   79.6  21:41    321
 06   10.4   21.3  10:12    6.9  23:09   14.3    0.0    0.9   16.4   41.8  01:42    195
 07    8.9   10.9  11:56    6.9  00:12   16.9    0.0    2.4    6.7   13.3  04:42    134
 08    8.8   10.8  14:13    7.0  05:42   17.2    0.0    4.8    6.8   12.2  14:43    146
 09    8.3   10.2  15:31    7.0  01:43   18.0    0.0    1.8   13.3   20.9  15:31     50
 10   10.0   15.6  13:43    6.8  20:12   15.0    0.0    7.8    6.7   17.3  13:43    150
 11   14.2   15.7  12:22    9.9  00:12    7.4    0.0    0.0   19.9   47.9  12:18    337
 12   11.7   17.5  10:42    7.5  05:12   11.9    0.0    7.2    7.8   22.0  12:12    197
 13   10.7   16.2  11:43    7.8  23:43   13.7    0.0    3.3    8.8   18.4  16:13     45
 14   13.8   16.5  14:51    4.5  22:42    8.2    0.0    4.5   18.1   43.9  10:43    311
 15    8.4   13.2  14:43    3.4  04:12   17.9    0.0    0.0   13.5   34.2  23:43    332
 16   12.6   17.0  16:07    7.0  02:43   10.4    0.0    0.0   11.7   31.7  01:43    342
 17    5.6   11.2  15:37    3.3  20:11   22.9    0.0    6.9   14.0   37.8  16:13    315
 18   12.0   15.3  12:14    1.8  23:44   11.4    0.0    1.5   27.5   54.0  17:03    290
 19    8.5   13.2  16:14   -0.4  05:14   17.6    0.0    0.0   14.9   33.1  21:21    296
 20   10.8   14.1  10:14    2.3  01:44   13.5    0.0    0.0   17.7   36.7  21:14    293
 21    5.6   14.9  12:14    0.4  23:43   23.0    0.0    3.6   15.8   29.5  21:20    160
 22   10.0   13.7  12:43    0.2  04:43   15.0    0.0    1.8   28.5   64.8  20:05    301
 23   11.3   16.6  15:13    2.7  20:14   12.6    0.0    2.4   11.4   27.0  00:14    139
 24   16.4   19.8  13:34    6.4  00:44    3.4    0.0    0.3   17.5   56.2  13:42    286
 25   17.3   19.4  14:03    6.6  04:44    1.9    0.0    0.6   22.7   39.2  13:47    298
 26   17.6   21.8  16:00    9.1  03:45    1.3    0.0    0.0   20.9   57.6  04:15    299
 27   14.9   21.4  16:14    9.7  01:44    6.2    0.0    0.0   14.2   27.0  12:44    337
 28   17.0   19.3  10:16   12.0  07:15    2.4    0.0    0.0   22.2   46.4  09:42    324
 29   20.7   25.6  11:41    7.9  23:45    0.0    4.3    0.0    9.7   25.6  16:01     64
 30   14.5   21.3  14:44    5.7  03:15    7.0    0.0    0.0   11.7   29.5  23:15    267
---------------------------------------------------------------------------------------
      11.2   25.6     29   -0.4     19  364.6    4.3   57.3   15.9   79.6     05    314
    
