                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2015


NAME: Darfield Weather Station                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    3.6    6.6  16:01    2.4  04:47   26.6    0.0   13.0    3.2   32.2  14:27     55
 02    6.7   13.9  14:03    1.1  03:44   20.9    0.0    0.2    2.4   19.3  16:04    289
 03    6.4    9.5  16:27    3.6  00:15   21.5    0.0    0.4    6.0   24.1  06:54    109
 04    5.8   11.3  09:04   -0.2  23:17   22.5    0.0    1.4    6.0   38.6  09:12    286
 05    6.6   15.4  12:35    0.1  01:48   21.2    0.0    3.8    7.5   38.6  14:25    308
 06    3.7    9.0  13:44   -1.1  07:03   26.3    0.0    1.0    5.0   30.6  11:46    188
 07    3.5    8.4  14:03   -0.4  23:33   26.7    0.0    0.0    5.0   29.0  10:57    175
 08    4.4   10.8  15:51   -1.3  06:47   25.1    0.0    0.0    5.2   22.5  20:23     36
 09    7.7   12.4  15:18    1.4  04:36   19.2    0.0    0.0    7.3   33.8  22:46    354
 10   10.0   18.3  14:02    2.6  00:00   15.0    0.0    8.6    7.1   59.5  16:00    277
 11    5.8   11.8  14:32    0.2  06:48   22.6    0.0    1.2    4.2   30.6  20:26    189
 12    5.9   11.9  15:29    2.3  07:21   22.4    0.0    0.2    5.5   24.1  18:57      8
 13    8.5   12.6  11:59    3.0  00:25   17.7    0.0    0.2    5.3   27.4  04:38    108
 14    7.5   12.2  14:44    4.4  03:43   19.5    0.0    0.2    5.5   24.1  16:38     10
 15   14.7   20.1  14:45   11.4  00:00    6.6    0.0    0.0   10.7   33.8  05:09    306
 16   14.8   19.7  12:54   10.9  21:40    6.4    0.0    0.0   11.9   35.4  16:57    303
 17   14.5   18.3  17:36   12.2  00:17    6.8    0.0    0.0    9.8   33.8  04:37    314
 18   10.8   15.1  16:21    5.1  23:40   13.5    0.0    1.4    7.3   35.4  21:59    144
 19    5.1    8.7  15:01    2.7  00:00   23.8    0.0    4.2    8.4   33.8  13:06    166
 20    3.8    6.2  12:01    1.7  03:24   26.1    0.0    4.2    4.8   25.7  02:42    178
 21    3.4    7.7  15:41   -0.9  23:46   26.8    0.0    0.0    1.8   12.9  15:44    130
 22    5.0   10.5  14:57   -2.4  02:15   24.1    0.0    0.6    2.1   16.1  15:39    148
 23    7.8    9.7  13:31    6.6  03:55   18.9    0.0    6.2    5.1   19.3  18:55    113
 24    7.1    9.3  13:33    3.3  00:00   20.3    0.0    1.2    2.8   17.7  12:53    128
 25    5.9   12.1  14:55   -0.8  06:04   22.4    0.0    0.6    3.5   17.7  21:44     87
 26    5.9    9.9  15:55    3.7  06:37   22.5    0.0    4.6    3.9   27.4  11:49    154
 27    6.5   11.8  13:50    1.2  07:05   21.3    0.0    0.0    6.1   30.6  12:25     25
 28    6.7   12.9  13:40    0.1  06:12   20.9    0.0    0.2    3.1   19.3  13:57     73
 29    9.1   14.3  14:25    5.7  23:04   16.6    0.0    0.0    7.4   30.6  15:39     38
 30    9.3   15.8  14:50    2.1  06:04   16.3    0.0    0.0    6.9   22.5  13:14     30
---------------------------------------------------------------------------------------
       7.2   20.1     15   -2.4     22  600.6    0.0   53.4    5.7   59.5     10    358
    

