                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2010


NAME: Darfield, Canterbury, New Zealand                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   13.1   17.7  14:52    5.0  04:45    9.5    0.0    0.0   18.3   45.4  00:15    314
 02   10.6   16.6  15:45    2.2  06:45   13.9    0.0    0.0   15.1   28.1  00:09    340
 03    8.9   16.7  10:45    3.7  07:15   17.0    0.0    0.0   10.9   28.1  16:16     40
 04    6.7   14.6  12:16    0.6  06:46   20.9    0.0    0.0    3.2   18.4  14:16    115
 05   13.3   17.0  14:48    1.8  00:45    9.1    0.0    0.0   18.1   31.7  11:33     42
 06   18.5   22.7  15:16    6.6  02:16    0.0    0.3    0.0   14.0   34.2  09:46     44
 07    9.9   16.9  15:45    5.0  07:15   15.1    0.0    0.0    7.8   15.8  17:45     71
 08   11.0   16.7  13:45    6.3  05:15   13.2    0.0    0.0   15.5   30.6  14:15      1
 09    9.5   13.6  16:26    5.8  11:15   16.0    0.0   15.9    8.5   19.4  13:44    289
 10    5.0   17.3  12:15    0.9  18:52   24.0    0.0    9.3   14.6   42.8  14:19    187
 11    8.4   13.9  18:59    2.3  01:16   17.8    0.0    0.0    5.7   36.7  11:46    189
 12   10.9   22.2  11:46    1.6  02:46   13.4    0.0    0.0    7.3   15.8  17:17    345
 13   11.5   19.1  14:17    2.1  04:47   12.3    0.0    0.0   12.0   25.6  19:49     34
 14    9.4   15.5  14:46    3.8  06:46   16.1    0.0    0.0   13.3   25.6  12:16     32
 15   12.0   19.9  16:46    6.8  06:47   11.3    0.0    0.0    9.4   19.4  18:16     44
 16   15.9   25.9  15:46    6.6  03:16    4.3    0.0    0.0   23.3   41.8  22:17    340
 17   19.6   21.8  13:47    6.7  22:47    0.0    2.2    4.8   30.6   51.5  09:36    321
 18    8.5   14.2  15:47    4.4  03:17   17.7    0.0    0.6   12.0   24.5  13:17     60
 19    6.5   19.4  13:17    4.3  23:47   21.4    0.0    6.9   15.6   45.4  15:17    171
 20   11.9   15.6  17:11    1.4  06:47   11.7    0.0    0.3   18.4   36.7  19:29    319
 21   12.7   17.7  11:24    6.5  23:47   10.1    0.0    2.7   14.4   34.2  12:55    175
 22    9.1   17.6  15:18    2.2  06:47   16.6    0.0    0.0    7.6   15.8  16:48     39
 23   13.4   17.7  16:44    2.9  06:18    8.9    0.0    0.0   12.0   22.0  19:05     38
 24   16.4   20.4  14:18    7.7  04:18    3.5    0.0    0.0   19.1   41.8  15:14    323
 25   13.2   20.9  10:47    9.6  23:18    9.2    0.0    0.0   12.0   29.5  15:17    115
 26   12.1   17.6  13:18    8.7  05:48   11.3    0.0    0.0    9.4   20.9  14:48     42
 27   18.2   22.3  17:22    8.5  06:18    0.3    0.0    0.0   21.3   40.3  16:45    320
 28   19.5   23.1  16:49   12.2  23:49    0.0    2.1    0.0   15.2   31.7  09:10    312
 29    9.7   12.8  13:19    7.8  08:19   15.5    0.0    2.1   10.3   23.4  00:49    137
 30   11.8   14.7  15:49    6.1  23:19   11.7    0.0    0.6   17.8   28.1  15:24     38
 31    9.3   15.8  16:19    1.8  06:19   16.2    0.0    0.0   11.8   22.0  12:49     35
---------------------------------------------------------------------------------------
      11.9   25.9     16    0.6     04  367.9    4.6   43.2   14.9   51.5     17    345
    
