                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2015


NAME: Darfield Weather Station                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   13.6   18.7  14:09    8.8  23:16    8.5    0.0    0.0    8.5   32.2  08:44    313
 02   12.3   18.6  14:00    5.8  04:23   10.8    0.0    0.0    8.8   40.2  14:37    308
 03   13.2   19.1  17:52    5.9  07:14    9.3    0.0    0.0    8.3   35.4  23:56    345
 04   16.7   22.6  14:06   11.8  23:55    2.9    0.0    0.0   15.6   80.5  15:38    289
 05    9.6   14.0  16:07    5.4  07:00   15.7    0.0    0.0    8.9   32.2  01:20      7
 06   17.8   24.2  15:53   12.3  00:00    0.9    0.0    0.0   11.9   43.5  01:34    315
 07   19.8   24.4  17:33   12.0  23:35    0.0    2.6    0.2   16.3   69.2  20:12    305
 08    8.4   13.1  01:18    3.0  00:00   17.9    0.0    0.0    3.9   20.9  00:08    148
 09    7.5   16.1  14:30   -0.3  06:34   19.4    0.0    0.0    6.7   27.4  18:25     34
 10   11.5   16.2  14:34    7.0  00:07   12.3    0.0    0.0    9.2   33.8  17:38      7
 11   15.9   22.9  15:04   11.3  06:18    4.3    0.0    0.0   13.1   35.4  17:32    313
 12   16.6   22.9  15:06   13.5  00:30    3.2    0.0    0.0   10.8   38.6  09:15    305
 13    9.6   14.7  00:00    6.9  10:17   15.6    0.0    0.6    5.9   41.8  10:09     97
 14   10.1   15.9  16:43    3.7  07:13   14.8    0.0    0.2    6.9   24.1  16:08     34
 15   10.6   15.5  15:23    5.8  03:15   13.8    0.0    0.0    8.3   32.2  17:38     34
 16   16.3   23.5  14:47    7.1  01:49    3.6    0.0    0.0   12.8   49.9  23:55    308
 17   11.3   18.9  07:40    6.2  00:00   12.6    0.0    1.2   11.3   43.5  00:01     29
 18   13.5   20.2  15:58    5.9  02:55    8.6    0.0    0.8   15.9   57.9  10:13    291
 19   10.0   17.9  16:42    3.3  04:40   14.9    0.0    0.0    5.1   32.2  15:20    255
 20   11.6   20.3  16:21    0.1  03:58   12.2    0.0    0.0    8.4   38.6  20:29    335
 21   17.2   21.6  17:36   12.9  05:06    2.0    0.0    0.0   14.5   46.7  12:19    302
 22    9.8   20.0  00:44    7.1  06:03   15.3    0.0    0.0    9.6   40.2  00:25     52
 23    9.0   14.1  15:51    5.1  05:41   16.8    0.0    0.0    3.3   14.5  14:03     68
 24   10.0   14.7  14:52    4.7  01:00   15.0    0.0    0.0    6.8   29.0  15:11     37
 25   10.6   17.0  10:03    6.9  00:00   13.9    0.0    0.0    7.3   32.2  11:34     57
 26   12.8   21.8  14:21    0.4  06:44    9.9    0.0    0.0    8.0   30.6  17:36    338
 27    8.5   17.4  00:47    6.2  08:05   17.7    0.0    3.0    6.8   38.6  02:52    141
 28    8.7   12.2  19:12    5.2  06:15   17.4    0.0    0.6    4.8   20.9  03:39     38
 29    6.9    8.9  00:00    4.8  22:32   20.5    0.0    7.0    3.7   25.7  13:15    126
 30    7.6   13.2  16:22    2.6  06:36   19.2    0.0    0.0    2.3   16.1  15:12     99
 31    9.1   16.8  11:29    0.5  04:27   16.6    0.0    0.0    4.0   24.1  13:46    108
---------------------------------------------------------------------------------------
      11.8   24.4     07   -0.3     09  365.8    2.6   13.6    8.6   80.5     04    329
    

