                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2012


NAME: Darfield, Canterbury, New Zealand                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   15.5   24.4  13:44    8.2  04:33    5.1    0.0    0.0   13.8   40.2  22:44    309
 02   16.7   20.0  13:26   13.0  22:56    2.9    0.0    0.0   21.0   45.1  10:16    313
 03    6.3   13.7  00:07    2.4  23:46   21.6    0.0   14.0   10.5   35.4  00:56    219
 04    7.6   14.7  15:57    0.7  06:14   19.4    0.0    1.2    5.9   19.3  18:03     10
 05    6.3    8.6  00:03    3.5  23:56   21.7    0.0    1.6    7.8   17.7  11:26    170
 06    5.7    9.7  15:40    2.9  06:13   22.8    0.0    0.8    6.0   19.3  11:21    174
 07    7.5   13.7  15:18    1.6  04:28   19.5    0.0    0.0    3.9   14.7  15:30    106
 08    8.8   17.0  15:28   -0.6  06:02   17.2    0.0    0.0    7.4   20.9  20:00     25
 09   13.8   21.4  16:40    5.2  04:02    8.1    0.0    0.0    8.0   19.3  09:07     17
 10   14.4   21.3  12:45    6.3  05:08    7.1    0.0    0.0   11.6   35.4  19:49    311
 11   12.6   18.5  15:24    7.1  23:55   10.3    0.0   12.4   10.5   30.6  22:59    175
 12    7.3   11.1  16:48    4.4  06:11   19.9    0.0    5.4   12.6   29.0  02:00    180
 13    7.5   12.7  16:27    3.7  23:49   19.4    0.0    0.0    4.8   22.5  16:05     44
 14    9.4   17.1  15:49    1.4  04:37   16.0    0.0    0.0    5.5   19.3  17:30     49
 15    9.8   15.1  14:27    4.7  05:06   15.3    0.0    0.6    4.1   16.1  15:01    160
 16   11.4   17.4  14:39    4.4  05:25   12.5    0.0    0.2    8.6   25.7  15:28     29
 17   11.9   17.1  15:39    8.2  22:53   11.6    0.0    0.0   11.4   27.4  03:40    299
 18    9.8   14.6  12:38    5.9  03:56   15.3    0.0    2.2   10.1   20.9  10:32    174
 19   10.3   14.9  16:07    6.9  02:27   14.5    0.0    0.0    7.2   22.5  16:01     58
 20    9.5   12.7  18:09    5.4  23:58   15.8    0.0    2.8    5.0   14.5  08:34     96
 21   10.6   18.3  15:36    2.0  04:20   13.8    0.0    0.2    5.4   24.1  18:00     66
 22   11.8   17.2  13:16    6.9  06:09   11.7    0.0    0.0    7.4   24.1  12:43     45
 23   12.2   17.1  17:43    7.1  05:42   11.0    0.0    0.0    7.0   25.7  09:45    119
 24   12.4   20.1  16:01    7.2  04:18   10.6    0.0    0.2    5.8   22.5  16:25     36
 25   16.2   25.3  14:39    9.1  03:34    3.9    0.0    0.0   10.7   37.0  20:00    327
 26   12.5   15.9  00:32    7.8  05:47   10.5    0.0    0.0    7.0   24.1  01:08     35
 27   14.1   22.1  12:51    4.3  02:43    7.6    0.0    0.0    6.2   20.9  16:50      7
 28   12.8   18.2  14:40    5.4  06:00   10.0    0.0    0.0    8.5   25.7  12:50     69
 29    7.7   12.0  07:45    4.3  20:53   19.1    0.0    8.0    5.6   16.1  10:04    128
 30    8.2   12.7  14:18    3.9  05:42   18.3    0.0    1.2    6.5   22.5  12:32    173
---------------------------------------------------------------------------------------
      10.7   25.3     25   -0.6     08  412.9    0.0   50.8    8.2   45.1     02     10
    
