                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2015


NAME: Darfield Weather Station                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   11.1   16.7  14:31    3.2  05:30   13.1    0.0    0.0    6.4   29.0  14:52     37
 02   13.9   22.1  13:57    5.2  06:54    7.9    0.0    0.0   10.5   46.7  19:12    304
 03   10.5   17.2  13:18    4.3  22:49   14.1    0.0    5.8   10.1   40.2  00:34    294
 04    4.8    7.6  18:14    0.7  00:00   24.3    0.0    1.6    3.0   24.1  13:36    175
 05    7.3   14.9  16:19   -0.5  02:26   19.8    0.0    0.2    4.9   20.9  13:49     30
 06    9.1   16.1  13:51    0.7  06:07   16.6    0.0    0.0    5.0   24.1  19:40     41
 07   12.2   21.3  12:20    5.9  06:04   11.0    0.0    0.0    4.2   22.5  01:30     95
 08   14.7   21.6  16:29    9.3  04:34    6.6    0.0    0.0    5.8   41.8  02:25     40
 09   12.4   18.5  17:08    6.4  03:56   10.6    0.0    0.0    3.5   20.9  18:47     88
 10   16.1   23.8  16:34    9.8  01:58    4.0    0.0    0.0    8.1   24.1  19:39     14
 11    9.2   14.4  00:00    5.7  22:03   16.5    0.0    8.4    5.3   22.5  01:04    143
 12    7.2   10.9  16:19    3.6  06:36   20.0    0.0    1.4    6.7   37.0  11:43    156
 13    8.9   14.7  15:20    5.1  00:00   17.0    0.0    0.0    5.4   27.4  18:37     45
 14   11.1   16.7  12:40    4.6  02:08   13.0    0.0    0.0    9.2   32.2  15:44    329
 15    8.8   13.7  02:18    3.7  00:00   17.1    0.0    3.8    6.0   30.6  06:29    153
 16    9.4   17.1  16:04   -0.3  06:12   16.1    0.0    0.0    5.1   24.1  17:59     38
 17   11.2   19.1  09:34    6.7  20:24   12.8    0.0    0.4    6.8   32.2  04:54    293
 18    7.7   12.4  13:12    5.7  22:57   19.1    0.0    0.2    4.9   27.4  15:14    150
 19   10.2   16.2  14:41   -0.1  04:46   14.7    0.0    0.0    9.0   33.8  23:35     23
 20   17.6   23.1  11:07   12.6  23:39    1.3    0.0    0.0   11.8   45.1  10:03    300
 21   12.0   16.4  13:57    7.7  23:08   11.4    0.0    0.0    6.3   33.8  14:56     52
 22   12.1   18.7  09:44    5.0  02:26   11.3    0.0    0.2    8.8   38.6  09:05     30
 23   15.8   21.4  12:50    7.2  02:05    4.6    0.0    0.0   10.9   40.2  15:10    311
 24   18.6   22.3  16:08   11.7  03:24    0.0    0.4    0.0   10.4   46.7  15:53    322
 25   20.9   26.7  14:22   14.7  00:42    0.0    4.7    0.0    9.4   35.4  20:19    303
 26   20.6   26.7  13:43   15.7  05:04    0.0    4.0    0.0   12.7   48.3  23:43    319
 27   16.9   24.1  10:46    5.7  23:40    2.6    0.0    1.2   12.6   49.9  09:35    318
 28   14.2   21.1  15:16    5.8  05:04    7.5    0.0    0.0   11.1   41.8  17:51    289
 29   10.3   14.2  16:55    7.6  03:55   14.4    0.0    0.4    8.0   33.8  15:51     55
 30   12.2   18.9  15:21    2.6  05:44   11.1    0.0    0.0    7.3   29.0  13:23     49
---------------------------------------------------------------------------------------
      12.2   26.7     25   -0.5     05  338.4    9.1   23.6    7.6   49.9     27    346
    

