                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2010


NAME: Darfield, Canterbury, New Zealand                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   13.8   18.2  14:39   10.9  06:23    8.2    0.0    0.3   10.6   25.6  13:45     53
 02   14.4   16.5  10:24   10.8  23:53    7.0    0.0    2.7    6.8   13.3  01:46     45
 03   19.8   24.6  14:20   10.7  01:23    0.0    2.6    0.0    6.0   19.4  15:53    145
 04   19.8   22.4  15:54   12.3  23:23    0.0    2.7    0.0   15.4   28.1  15:34     38
 05   23.4   26.5  13:45   15.1  23:53    0.0    9.1    0.0   10.7   25.6  03:23     66
 06   15.6   27.0  09:24    9.2  23:54    4.9    0.0    1.2   19.0   40.3  13:11    172
 07   11.0   14.6  14:24    8.1  23:24   13.3    0.0    4.2    9.7   17.3  11:10    145
 08    9.9   13.1  14:51    6.2  22:54   15.2    0.0    0.6   11.6   25.6  12:37    152
 09   14.4   19.8  15:31    6.0  01:23    7.1    0.0    0.6    9.9   27.0  16:49     89
 10   15.1   23.5  14:00    5.2  01:26    5.8    0.0    1.2   14.3   35.6  19:34    341
 11   20.6   31.3  12:31   15.3  20:19    0.0    4.1    2.4   12.4   31.7  12:49    119
 12   17.4   23.3  13:18    5.8  04:54    1.6    0.0    0.0   12.9   35.6  23:58     36
 13   23.8   27.1  12:37   15.1  04:54    0.0    9.9    0.0   23.3   47.9  00:03    326
 14   17.1   18.9  10:25   11.6  23:25    2.2    0.0    0.0    9.1   24.5  02:00    143
 15   14.8   22.6  14:25   12.4  00:25    6.4    0.0    0.0    7.4   23.4  15:25    172
 16   18.1   22.1  12:38   12.1  04:56    0.4    0.0    0.0   12.3   25.6  14:41     34
 17   17.3   21.5  16:26   14.0  00:23    1.8    0.0    5.7   10.0   20.9  16:49     24
 18   22.0   31.4  17:45   15.2  03:25    0.0    6.6    0.0   11.7   30.6  11:55    295
 19   21.0   27.2  16:51   14.5  03:55    0.0    4.8    2.1   17.5   42.8  17:48    341
 20   23.7   28.3  14:10   16.4  05:26    0.0    9.7    0.0   16.2   34.2  13:51    332
 21   22.9   29.8  12:17   19.3  22:53    0.0    8.2    1.8   31.1   61.2  20:25    313
 22   15.5   25.3  13:56   10.5  23:56    5.2    0.0    1.8   16.4   63.7  08:26    305
 23   18.2   25.8  13:56   10.5  05:56    0.3    0.0    0.6   24.0   47.9  21:07    326
 24   17.5   21.8  12:00   12.2  22:15    1.4    0.0    1.8   25.1   80.6  07:09    301
 25   18.3   25.5  14:13    9.7  05:56    0.1    0.0    0.3   16.8   39.2  16:07    356
 26   18.9   20.9  16:42   14.1  04:26    0.0    1.1    0.0   20.3   45.4  21:57    322
 27   24.3   28.3  13:17   17.3  00:27    0.0   10.8    0.0   23.8   50.0  16:08    354
 28   12.7   22.3  00:58    9.3  23:09   10.1    0.0   23.4   13.5   46.4  01:35    209
 29   14.0   21.3  12:57    4.1  04:57    7.8    0.0    0.0   12.1   33.1  17:42     53
 30   21.0   26.2  11:48   10.2  03:58    0.0    4.8    0.0    8.7   34.2  13:20    319
 31   18.0   22.1  12:27   11.4  23:57    0.6    0.0    0.0   11.5   24.5  14:46     48
---------------------------------------------------------------------------------------
      18.0   31.4     18    4.1     29   99.2   74.4   50.7   14.9   80.6     24    353
    
