                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2015


NAME: Darfield Weather Station                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   16.6   22.3  18:06   10.9  06:49    3.0    0.0    0.0   11.2   40.2  19:52    358
 02   23.6   29.4  13:33   19.1  02:47    0.0    9.5    0.0   13.4   38.6  17:25    311
 03   18.2   24.1  09:55    9.4  21:36    0.3    0.0    0.0   12.5   45.1  10:46    315
 04   15.3   24.1  15:35    5.7  04:15    5.5    0.0    0.0    7.4   29.0  17:55     26
 05   16.2   24.6  15:18    7.7  23:58    3.9    0.0    3.0   10.2   48.3  19:08    271
 06    9.0   14.4  15:56    5.5  07:18   16.8    0.0    4.8    6.8   30.6  20:15     46
 07   10.1   17.7  16:40    2.8  06:03   14.8    0.0    0.6    5.6   27.4  18:21     96
 08   11.9   19.3  14:19    4.2  03:51   11.5    0.0    0.2    4.8   25.7  16:13    151
 09   12.0   19.1  15:11    8.4  06:23   11.4    0.0    0.8    6.1   27.4  17:18     47
 10   18.6   25.2  17:41    9.6  01:32    0.0    0.6    0.0   14.4   43.5  13:21    301
 11   13.2   19.0  13:03    7.4  03:58    9.3    0.0    0.0   10.7   46.7  17:25     39
 12   16.1   27.0  14:15    8.1  02:42    3.9    0.0    0.0   11.5   64.4  23:18    344
 13   12.6   18.6  13:46    4.1  23:28   10.3    0.0    0.4    9.8   54.7  00:28    289
 14   14.8   23.3  15:22    2.9  02:27    6.4    0.0    0.0   10.9   37.0  16:55    303
 15   15.1   24.3  14:46    7.9  23:08    5.8    0.0    0.2    7.4   41.8  18:28    354
 16    8.1   13.4  14:28    6.2  06:36   18.3    0.0   11.2    3.9   25.7  15:07    300
 17    8.7   13.6  17:18    5.3  03:36   17.3    0.0    5.4    6.6   30.6  14:54    173
 18   11.8   20.7  16:42    3.5  05:59   11.8    0.0    0.0    5.1   24.1  18:23     18
 19   10.6   11.9  18:06    8.9  01:46   14.0    0.0    1.4    4.0   17.7  08:28    121
 20   13.1   18.8  17:16    7.4  05:42    9.4    0.0    0.0    7.4   30.6  18:05     29
 21   24.1   31.6  13:59   12.7  00:44    0.0   10.4    0.0   15.1   41.8  10:32    300
 22   12.1   20.1  02:01    8.0  18:20   11.2    0.0    4.0    6.7   35.4  01:55    162
 23   10.7   17.7  15:34    2.1  06:16   13.8    0.0    0.0    4.9   24.1  16:28     41
 24   12.2   19.6  15:06    4.6  05:11   11.0    0.0    0.0    3.8   20.9  15:48    159
 25   16.3   22.7  17:17   10.3  05:54    3.7    0.0    0.0    5.1   22.5  18:27    102
 26   14.5   22.2  13:16    7.1  03:26    6.9    0.0    0.0    4.9   24.1  13:18     57
 27   14.8   20.9  13:56    9.4  05:06    6.4    0.0    0.0   10.4   38.6  19:03     21
 28   15.2   21.2  13:49   11.9  05:40    5.6    0.0    0.0   10.7   30.6  14:45     27
 29   14.6   20.9  14:55    6.9  23:59    6.6    0.0    0.0    5.0   22.5  13:55     90
 30    9.6   14.3  10:20    4.4  04:56   15.7    0.0    3.2    4.2   22.5  15:00    164
 31   13.6   20.5  15:01    8.7  06:05    8.5    0.0    0.4    6.1   29.0  15:07     34
---------------------------------------------------------------------------------------
      14.0   31.6     21    2.1     23  263.2   20.5   35.6    8.0   64.4     12    352
    

